X,Y,code
33.0376,271.63,ME
33.9573,146.808,ME
34.1361,194.455,ME
38.1321,176.792,ME
39.895,131.763,ME
50.8357,115.758,ME
53.8869,108.949,ME
63.1285,116.982,ME
66.0706,111.09,ME
76.9491,80.947,ME
78.0471,188.079,ME
81.6455,276.169,ME
87.7508,76.8761,ME
90.8101,280.156,ME
100.952,289.999,ME
107.849,303.21,ME
116.662,317.293,ME
128.787,257.394,ME
32.6312,263.585,ME
32.6617,303.82,ME
33.6301,282.272,ME
110.402,309.591,ME
32.3166,253.961,ME
32.2769,296.711,ME
33.3757,226.6,ME
36.825,185.639,ME
45.5755,119.979,ME
59.8768,124.383,ME
33.9192,204.632,ME
42.3176,161.921,ME
44.4893,154.153,ME
47.0437,145.129,ME
103.702,296.518,ME
117.403,292.266,ME
119.889,300.099,ME
40.3083,169.715,ME
43.1064,293.703,ME
84.6142,90.9889,ME
92.6268,93.658,ME
68.6649,161.701,ME
55.0285,132.562,ME
69.8764,83.5791,ME
77.3726,102.514,ME
101.708,267.934,ME
69.3161,116.408,ME
80.956,153.084,ME
83.3564,287.056,ME
38.9647,225.34,CO
38.903,231.86,CO
39.9215,198.217,CO
39.8449,206.386,CO
40.9137,181.542,CO
42.9846,158.086,CO
44.9112,134.483,CO
47.7554,116.701,CO
49.9909,236.596,CO
50.1094,283.105,CO
51.1913,194.582,CO
51.1623,211.207,CO
51.8133,96.2325,CO
52.1534,178.273,CO
56.0949,78.3539,CO
57.1001,125.748,CO
57.0656,132.387,CO
56.628,355.948,CO
58.7953,71.8964,CO
63.4526,353.288,CO
69.9369,49.0096,CO
69.9203,73.7403,CO
81.6606,350.015,CO
82.8197,338.935,CO
85.082,60.9153,CO
89.3469,46.6194,CO
93.9668,53.16,CO
98.0457,59.0568,CO
104.21,74.8653,CO
106.946,81.9734,CO
108.102,187.818,CO
110.165,97.4645,CO
109.834,237.742,CO
110.737,280.461,CO
110.882,293.317,CO
113.104,115.756,CO
113.967,124.031,CO
118.156,167.008,CO
120.169,200.962,CO
122.21,292.088,CO
50.3144,106.358,CO
50.7184,221.337,CO
50.5717,253.795,CO
50.6626,317.765,CO
55.9248,141.344,CO
60.2237,115.239,CO
62.9109,102.129,CO
72.9296,67.602,CO
73.6684,338.981,CO
74.305,350.644,CO
80.0323,54.7145,CO
90.7738,291.633,CO
90.6287,339.99,CO
97.7908,93.4047,CO
98.8828,342.086,CO
101.006,114.371,CO
103.413,355.777,CO
107.299,172.742,CO
107.072,181.263,CO
107.261,344.109,CO
108.346,198.589,CO
39.7831,188.644,CO
51.3822,228.273,CO
62.4961,341.211,CO
63.3786,59.0335,CO
102.102,128.134,CO
104.346,151.142,CO
108.929,225.083,CO
108.814,332.528,CO
109.771,247.9,CO
38.5311,215.412,CO
54.0116,343.826,CO
123.064,267.322,CO
37.0179,241.36,CO
50.8591,245.947,CO
52.2611,326.556,CO
94.1025,85.1698,CO
121.141,342.089,CO
122.531,326.536,CO
53.3468,202.431,CO
65.2858,94.8921,CO
102.918,64.8744,CO
107.88,213.353,CO
118.38,152.692,CO
52.1236,84.9923,CO
68.8887,82.895,CO
108.19,312.878,CO
114.052,105.904,CO
51.9736,261.753,CO
52.1452,293.53,CO
97.8387,105.133,CO
106.747,324.039,CO
107.969,260.794,CO
56.4382,164.725,CO
101.681,141.121,CO
103.217,160.878,CO
53.5055,309.248,CO
107.308,270.627,CO
107.263,286.927,CO
107.222,302.501,CO
87.6353,74.0099,CO
58.9125,151.948,CO
54.7681,275.276,CO
56.7253,181.443,CO
62.5176,124.703,CO
80.5109,62.1302,CO
103.098,188.83,CO
61.3514,139.689,CO
92.2044,94.1978,CO
102.234,173.308,CO
87.6047,334.115,CO
71.1498,94.9805,CO